Uniname,Majorname
"University of California, Berkeley",Business Administration
"University of California, Berkeley",Psychology
"University of California, Berkeley",Biology
"University of California, Berkeley",Engineering
"University of California, Berkeley",Anthropology
"University of California, Berkeley",Sociology
"University of California, Berkeley",Computer Science
"University of California, Berkeley",English
"University of California, Berkeley",Economics
"University of California, Berkeley",Political Science
"University of California, Berkeley",History
"University of California, Berkeley",Art
"University of California, Berkeley",Math
"University of California, Berkeley",Environmental Sciences
"University of California, Berkeley",Foreign Language
"University of California, Berkeley",Chemistry
"University of California, Berkeley",Music
"University of California, Berkeley",Architecture
"University of California, Davis",Business
"University of California, Davis",Psychology
"University of California, Davis",Biology
"University of California, Davis",Music
"University of California, Davis",Engineering
"University of California, Davis",Education
"University of California, Davis",Communications
"University of California, Davis",Anthropology
"University of California, Davis",Computer Science
"University of California, Davis",English
"University of California, Davis",Economics
"University of California, Davis",Political Science
"University of California, Davis",History
"University of California, Davis",Art
"University of California, Davis",Math
"University of California, Davis",Environmental Sciences
"University of California, Davis",Foreign Language
"University of California, Davis",Chemistry
"University of California, Davis",Agricultural Sciences
"University of California, Davis",Food Science
"University of California, Davis",Architecture
"University of California, Davis",Sociology
"University of California, Irvine",Business
"University of California, Irvine",Nursing
"University of California, Irvine",Psychology
"University of California, Irvine",Biology
"University of California, Irvine",Engineering
"University of California, Irvine",Education
"University of California, Irvine",Criminal Science
"University of California, Irvine",English
"University of California, Irvine",Economics
"University of California, Irvine",Political Science
"University of California, Irvine",History
"University of California, Irvine",Art
"University of California, Irvine",Math
"University of California, Irvine",Environmental Sciences
"University of California, Irvine",Foreign Language
"University of California, Irvine",Music
"University of California, Los Angeles",Business
"University of California, Los Angeles",Nursing
"University of California, Los Angeles",Psychology
"University of California, Los Angeles",Biology
"University of California, Los Angeles",Engineering
"University of California, Los Angeles",Education
"University of California, Los Angeles",Communications
"University of California, Los Angeles",Anthropology
"University of California, Los Angeles",Computer Science
"University of California, Los Angeles",English
"University of California, Los Angeles",Economics
"University of California, Los Angeles",Political Science
"University of California, Los Angeles",History
"University of California, Los Angeles",Art
"University of California, Los Angeles",Music
"University of California, Los Angeles",Architecture
"University of California, Merced",Business
"University of California, Merced",Psychology
"University of California, Merced",Biology
"University of California, Merced",Engineering
"University of California, Merced",Education
"University of California, Merced",Anthropology
"University of California, Merced",Computer Science
"University of California, Merced",English
"University of California, Merced",Economics
"University of California, Merced",Political Science
"University of California, Merced",History
"University of California, Merced",Art
"University of California, Merced",Math
"University of California, Merced",Environmental Sciences
"University of California, Merced",Chemistry
"University of California, Merced",Sociology
"University of California, Riverside",Business
"University of California, Riverside",Psychology
"University of California, Riverside",Biology
"University of California, Riverside",Engineering
"University of California, Riverside",Education
"University of California, Riverside",Anthropology
"University of California, Riverside",Computer Science
"University of California, Riverside",English
"University of California, Riverside",Economics
"University of California, Riverside",History
"University of California, Riverside",Music
"University of California, Riverside",Sociology
"University of California, San Diego",Business
"University of California, San Diego",Psychology
"University of California, San Diego",Biology
"University of California, San Diego",Engineering
"University of California, San Diego",Education
"University of California, San Diego",Communications
"University of California, San Diego",Anthropology
"University of California, San Diego",Computer Science
"University of California, San Diego",English
"University of California, San Diego",Economics
"University of California, San Diego",Political Science
"University of California, San Diego",History
"University of California, San Diego",Art
"University of California, San Diego",Math
"University of California, San Diego",Environmental Sciences
"University of California, San Diego",Foreign Language
"University of California, San Diego",Chemistry
"University of California, San Diego",Music
"University of California, San Diego",Sociology
"University of California, Santa Barbara",Psychology
"University of California, Santa Barbara",Biology
"University of California, Santa Barbara",Engineering
"University of California, Santa Barbara",Communications
"University of California, Santa Barbara",Finance and Accounting
"University of California, Santa Barbara",Anthropology
"University of California, Santa Barbara",Computer Science
"University of California, Santa Barbara",English
"University of California, Santa Barbara",Economics
"University of California, Santa Barbara",Political Science
"University of California, Santa Barbara",History
"University of California, Santa Barbara",Art
"University of California, Santa Barbara",Math
"University of California, Santa Barbara",Environmental Sciences
"University of California, Santa Barbara",Foreign Language
"University of California, Santa Barbara",Chemistry
"University of California, Santa Barbara",Music
"University of California, Santa Barbara",Architecture
"University of California, Santa Barbara",Sociology
"University of California, Santa Cruz",Psychology
"University of California, Santa Cruz",Biology
"University of California, Santa Cruz",Engineering
"University of California, Santa Cruz",Education
"University of California, Santa Cruz",Anthropology
"University of California, Santa Cruz",English
"University of California, Santa Cruz",Sociology
"University of California, Santa Cruz",Computer Science
"University of California, Santa Cruz",Economics
"University of California, Santa Cruz",History
"University of California, Santa Cruz",Art
"University of California, Santa Cruz",Math
"University of California, Santa Cruz",Chemistry
California State University Maritime Academy,Engineering
California State University Maritime Academy,Business
California Polytechnic State University,Business
California Polytechnic State University,Psychology
California Polytechnic State University,Biology
California Polytechnic State University,Engineering
California Polytechnic State University,Communications
California Polytechnic State University,Finance and Accounting
California Polytechnic State University,Criminal Science
California Polytechnic State University,Anthropology
California Polytechnic State University,Computer Science
California Polytechnic State University,English
California Polytechnic State University,Economics
California Polytechnic State University,Political Science
California Polytechnic State University,History
California Polytechnic State University,Kinesiology and Physical Therapy
California Polytechnic State University,Art
California Polytechnic State University,Math
California Polytechnic State University,Music
California Polytechnic State University,Architecture
"California State Polytechnic University, Pomona",Business
"California State Polytechnic University, Pomona",Psychology
"California State Polytechnic University, Pomona",Biology
"California State Polytechnic University, Pomona",Engineering
"California State Polytechnic University, Pomona",Education
"California State Polytechnic University, Pomona",Communications
"California State Polytechnic University, Pomona",Finance and Accounting
"California State Polytechnic University, Pomona",Anthropology
"California State Polytechnic University, Pomona",Computer Science
"California State Polytechnic University, Pomona",English
"California State Polytechnic University, Pomona",Economics
"California State Polytechnic University, Pomona",Political Science
"California State Polytechnic University, Pomona",History
